"name","pointEstimate","ci_max","ci_min","level","ci_corr_max","ci_corr_min"
"CF_RF-Coupled_RF","0.354166666666667","-0.0530354597222904","0.6875","0.995833333333333","-0.270833333333333","0.833333333333333"
"CF_RF-FF_RF","0.354166666666667","0","0.666666666666667","0.995833333333333","-0.181935505061119","0.8125"
"CF_RF-CF_ZF","0.229166666666667","-0.0416666666666667","0.479166666666667","0.995833333333333","-0.166666666666667","0.604166666666667"
"CF_RF-Coupled_ZF","0.3125","0","0.604166666666667","0.995833333333333","-0.166666666666667","0.729166666666667"
"CF_RF-FF_ZF","0.375","0.0416666666666667","0.666666666666667","0.995833333333333","-0.125","0.791666666666667"
"Coupled_RF-FF_RF","0","-0.291666666666667","0.25","0.995833333333333","-0.416666666666667","0.395833333333333"
"Coupled_RF-CF_ZF","-0.125","-0.5625","0.208333333333333","0.995833333333333","-0.791666666666667","0.375"
"Coupled_RF-Coupled_ZF","-0.0416666666666667","-0.375","0.291666666666667","0.995833333333333","-0.5","0.439069312362778"
"Coupled_RF-FF_ZF","0.0208333333333333","-0.375","0.416666666666667","0.995833333333333","-0.5625","0.625"
"FF_RF-CF_ZF","-0.125","-0.4375","0.1875","0.995833333333333","-0.5625","0.333333333333333"
"FF_RF-Coupled_ZF","-0.0416666666666667","-0.333333333333333","0.1875","0.995833333333333","-0.458333333333333","0.291666666666667"
"FF_RF-FF_ZF","0.0208333333333333","-0.291666666666667","0.333333333333333","0.995833333333333","-0.395833333333333","0.5"
"CF_ZF-Coupled_ZF","0.0833333333333333","-0.229166666666667","0.354166666666667","0.995833333333333","-0.333333333333333","0.5"
"CF_ZF-FF_ZF","0.145833333333333","-0.229166666666667","0.4375","0.995833333333333","-0.375","0.583333333333333"
"Coupled_ZF-FF_ZF","0.0625","-0.291666666666667","0.375","0.995833333333333","-0.4375","0.5625"
