"name","pointEstimate","ci_max","ci_min","level","ci_corr_max","ci_corr_min","w"
"Dragalong_CF_RF-Animated_CF_RF","4.71116666666667","-2.10499497741928","19.642724339209","0.999242424242424","-5.05184597574762","27.8663055555556","*"
"Dragalong_CF_RF-Dragalong_Coupled_RF","2.73358333333333","-2.19532063929968","18.5368386635196","0.999242424242424","-3.71803002449485","23.3371944444444","*"
"Dragalong_CF_RF-Animated_Coupled_RF","8.29279166666667","1.92717678639665","23.395332120659","0.999242424242424","0.177543147733344","30.7725","*"
"Dragalong_CF_RF-Dragalong_FF_RF","3.91652777777778","-0.641313259838625","14.5762489587071","0.999242424242424","-2.2215769563965","19.8604583333333","*"
"Dragalong_CF_RF-Animated_FF_RF","7.50540277777778","0.831564511126893","23.478216381007","0.999242424242424","-1.25470716074062","30.3758333333333","*"
"Dragalong_CF_RF-Dragalong_CF_ZF","0.722625","-4.2475478082498","15.6752729957366","0.999242424242424","-5.96415266926338","20.9114166666667","*"
"Dragalong_CF_RF-Animated_CF_ZF","4.77772222222222","-1.75512354899387","20.8387149674052","0.999242424242424","-3.32854144139164","28.9769722222222","*"
"Dragalong_CF_RF-Dragalong_Coupled_ZF","4.73888888888889","0.844447792045174","13.84457867229","0.999242424242424","-0.578746226224982","18.0609861111111","*"
"Dragalong_CF_RF-Animated_Coupled_ZF","8.4165","2.55247743116096","24.5995258088207","0.999242424242424","0.84760268376213","30.6301111111111","*"
"Dragalong_CF_RF-Dragalong_FF_ZF","3.75723611111111","-1.09901834883833","14.0309340082066","0.999242424242424","-3.12969482131424","21.1918055555556","*"
"Dragalong_CF_RF-Animated_FF_ZF","8.50108333333333","1.75208081315153","25.1583471499505","0.999242424242424","-0.204927413696069","32.281125","*"
"Animated_CF_RF-Dragalong_Coupled_RF","-1.97758333333333","-7.87115730659545","2.73475200119686","0.999242424242424","-13.0136825134846","5.96829700318154"," "
"Animated_CF_RF-Animated_Coupled_RF","3.581625","0.48354788692962","8.15987455129864","0.999242424242424","-1.42149570846383","12.5145833333333","*"
"Animated_CF_RF-Dragalong_FF_RF","-0.794638888888889","-5.11517064542967","3.77517328313522","0.999242424242424","-8.27488170546895","7.60035405684278"," "
"Animated_CF_RF-Animated_FF_RF","2.79423611111111","-0.116064661220566","7.51605873787886","0.999242424242424","-1.61637857523364","11.4145277777778","*"
"Animated_CF_RF-Dragalong_CF_ZF","-3.98854166666667","-10.6239399269292","0.462015553815436","0.999242424242424","-15.2130555555556","3.25580653628272","*"
"Animated_CF_RF-Animated_CF_ZF","0.0665555555555561","-2.59355527081704","3.12294877573485","0.999242424242424","-4.18358804784403","5.56551726156516"," "
"Animated_CF_RF-Dragalong_Coupled_ZF","0.0277222222222223","-4.86064479439508","5.00305391762707","0.999242424242424","-9.39400113242699","9.61843290229422"," "
"Animated_CF_RF-Animated_Coupled_ZF","3.70533333333333","0.985234363696259","7.82231854994115","0.999242424242424","-0.558851040272922","12.4743333333333","*"
"Animated_CF_RF-Dragalong_FF_ZF","-0.953930555555555","-5.86073533195504","3.28367918131074","0.999242424242424","-10.1313591748845","5.85334051320349"," "
"Animated_CF_RF-Animated_FF_ZF","3.78991666666667","0.847529883930407","8.28014660725995","0.999242424242424","-0.694933529638258","12.1627777777778","*"
"Dragalong_Coupled_RF-Animated_Coupled_RF","5.55920833333333","1.76098778920661","12.7158188024185","0.999242424242424","-0.183140775256888","18.1057361111111","*"
