"name","pointEstimate","ci_max","ci_min","level","ci_corr_max","ci_corr_min"
"Dragalong_CF-Animated_CF","-0.025868055555555","-2.07059597005357","2.78610785160816","0.995833333333333","-2.89340114876055","3.93828425793003"
"Dragalong_CF-Dragalong_Coupled","1.60215972222222","-1.18944340976954","3.84805139510843","0.995833333333333","-2.85695834642737","4.80649751783443"
"Dragalong_CF-Animated_Coupled","2.6633125","0.0725469665204908","5.67930817839483","0.995833333333333","-0.992170288297236","7.19509191397395"
"Dragalong_CF-Dragalong_FF","-0.148645833333333","-2.20518988754061","1.81513076202135","0.995833333333333","-3.33284830293034","2.81042955331289"
"Dragalong_CF-Animated_FF","1.59756597222222","-0.812751602583149","5.02612236677582","0.995833333333333","-1.76219347202394","6.87109067772387"
"Animated_CF-Dragalong_Coupled","1.62802777777778","-4.07709947270317","4.38668728634655","0.995833333333333","-7.36425694444445","5.31788996588431"
"Animated_CF-Animated_Coupled","2.68918055555556","0.988171979283992","4.95860520482766","0.995833333333333","0.364416906963597","6.39351888021999"
"Animated_CF-Dragalong_FF","-0.122777777777778","-2.76347560347625","2.51888623885642","0.995833333333333","-4.10765888475495","3.75538994740583"
"Animated_CF-Animated_FF","1.62343402777778","-0.596725705612213","4.25413746058862","0.995833333333333","-1.61545647919283","5.45348871761951"
"Dragalong_Coupled-Animated_Coupled","1.06115277777778","-1.5189449879223","6.92580823038412","0.995833333333333","-2.24859351451739","10.6284583333333"
"Dragalong_Coupled-Dragalong_FF","-1.75080555555556","-4.17068312799211","1.54220342761265","0.995833333333333","-5.21635480492403","3.33556238148474"
"Dragalong_Coupled-Animated_FF","-0.00459374999999966","-2.81890107172072","6.20110556492978","0.995833333333333","-3.72260016341091","9.89320138888889"
"Animated_Coupled-Dragalong_FF","-2.81195833333333","-5.58525125891376","-0.460354733533837","0.995833333333333","-6.88691396076258","0.594225879676263"
"Animated_Coupled-Animated_FF","-1.06574652777778","-3.34546130463743","0.813722195609045","0.995833333333333","-4.47261552681318","1.51277624054724"
"Dragalong_FF-Animated_FF","1.74621180555556","-1.41938414323823","5.04016461555602","0.995833333333333","-2.81178635386092","6.44397154448475"
