"participant","technique","cameraTransition","renderingOrder","difficulty"
"21","Draggo","RF","RF","4"
"22","Goto","ZF","Coupled","2"
"22","Goto","RF","Coupled","2"
"22","Goto","RF","RF","3"
"22","Goto","ZF","CF","4"
"22","Goto","ZF","RF","3"
"22","Goto","RF","CF","3"
"22","Draggo","ZF","Coupled","3"
"22","Draggo","ZF","CF","4"
"22","Draggo","ZF","RF","3"
"22","Draggo","RF","RF","3"
"22","Draggo","RF","CF","3"
"22","Draggo","RF","Coupled","2"
"23","Goto","RF","Coupled","3"
"23","Goto","ZF","CF","3"
"23","Goto","ZF","Coupled","3"
"23","Goto","RF","CF","5"
"23","Goto","RF","RF","3"
"23","Goto","ZF","RF","4"
"23","Draggo","ZF","CF","5"
"23","Draggo","RF","RF","2"
"23","Draggo","ZF","Coupled","2"
"23","Draggo","RF","Coupled","2"
"23","Draggo","ZF","RF","4"
"23","Draggo","RF","CF","4"
"3","Draggo","RF","RF","3"
"3","Draggo","ZF","Coupled","5"
"3","Draggo","ZF","RF","5"
"3","Draggo","RF","Coupled","5"
"3","Draggo","RF","CF","4"
"3","Draggo","ZF","CF","3"
"3","Goto","ZF","RF","2"
"3","Goto","ZF","Coupled","3"
"3","Goto","RF","CF","4"
"3","Goto","ZF","CF","3"
"3","Goto","RF","Coupled","2"
"3","Goto","RF","RF","2"
"4","Draggo","ZF","Coupled","2"
"4","Draggo","RF","Coupled","3"
"4","Draggo","RF","RF","3"
"4","Draggo","ZF","CF","4"
"4","Draggo","ZF","RF","3"
"4","Draggo","RF","CF","2"
"4","Goto","ZF","Coupled","1"
"4","Goto","ZF","CF","1"
"4","Goto","ZF","RF","2"
"4","Goto","RF","RF","1"
"4","Goto","RF","CF","3"
"4","Goto","RF","Coupled","2"
"5","Draggo","RF","Coupled","2"
"5","Draggo","ZF","CF","3"
"5","Draggo","ZF","Coupled","3"
"5","Draggo","RF","CF","4"
"5","Draggo","RF","RF","2"
"5","Draggo","ZF","RF","2"
"5","Goto","ZF","CF","2"
"5","Goto","RF","RF","1"
"5","Goto","ZF","Coupled","2"
"5","Goto","RF","Coupled","2"
"5","Goto","ZF","RF","2"
"5","Goto","RF","CF","2"
"6","Draggo","ZF","CF","3"
"6","Draggo","RF","CF","2"
"6","Draggo","RF","Coupled","3"
"6","Draggo","ZF","RF","3"
"6","Draggo","ZF","Coupled","2"
"6","Draggo","RF","RF","3"
"6","Goto","RF","RF","1"
"6","Goto","RF","Coupled","1"
"6","Goto","ZF","CF","2"
"6","Goto","RF","CF","2"
"6","Goto","ZF","Coupled","1"
"6","Goto","ZF","RF","1"
"7","Draggo","RF","CF","1"
"7","Draggo","ZF","RF","3"
"7","Draggo","ZF","CF","4"
"7","Draggo","RF","RF","4"
"7","Draggo","RF","Coupled","4"
"7","Draggo","ZF","Coupled","5"
"7","Goto","RF","Coupled","4"
"7","Goto","RF","CF","4"
"7","Goto","RF","RF","4"
"7","Goto","ZF","RF","2"
"7","Goto","ZF","CF","3"
"7","Goto","ZF","Coupled","3"
