"participant","id","nBlock","nSubBlock","map","technique","cameraTransition","renderingOrder","training","errorCount","timeFromStart","timeFromStreet","streetCount","firstAnswerFromStart","firstAnswerFromStreet","timeout","firstErrorMeasure","meanErrorMeasure"
"1",5,0,1,14,"Draggo","ZF","RF",false,0,17.308,11.479,2,17.308,11.479,false,0,0
"1",6,0,1,28,"Draggo","ZF","RF",false,0,51.665,30.254,2,51.664,30.253,false,0,0
"1",7,0,1,43,"Draggo","ZF","RF",false,0,27.996,7.787,1,27.996,7.787,false,0,0
"1",8,0,2,31,"Draggo","ZF","CF",true,0,32.316,22.41,2,32.316,22.41,false,0,0
"1",9,0,2,23,"Draggo","ZF","CF",false,1,53.306,39.9,2,15.899,2.494,false,0.3153450504980039,0.3153450504980039
"1",10,0,2,30,"Draggo","ZF","CF",false,0,43.31,20.031,1,43.31,20.031,false,0,0
"1",11,0,2,54,"Draggo","ZF","CF",false,0,10.159,2.781,1,10.159,2.781,false,0,0
"1",12,0,3,44,"Draggo","RF","RF",true,0,7.452,2.365,1,7.452,2.365,false,0,0
"1",13,0,3,3,"Draggo","RF","RF",false,4,52.047,31.575,2,30.665,10.193,false,0.591547657239153,0.5967605352550857
"1",14,0,3,26,"Draggo","RF","RF",false,0,34.455,18.552,1,34.455,18.552,false,0,0
"1",15,0,3,34,"Draggo","RF","RF",false,0,21.04,9.619,1,21.04,9.619,false,0,0
"1",16,0,4,9,"Draggo","RF","Coupled",true,0,15.975,5.348,1,15.975,5.348,false,0,0
"1",17,0,4,49,"Draggo","RF","Coupled",false,0,6.561,2.701,1,6.561,2.701,false,0,0
"1",18,0,4,52,"Draggo","RF","Coupled",false,4,78.317,71.278,3,16.645,9.606,false,0.6038102739258515,0.5539124686623889
"1",19,0,4,40,"Draggo","RF","Coupled",false,0,17.874,3.435,1,17.874,3.435,false,0,0
"1",20,0,5,13,"Draggo","ZF","Coupled",true,0,8.946,2.701,1,8.946,2.701,false,0,0
"1",21,0,5,50,"Draggo","ZF","Coupled",false,0,19.087,11.21,1,19.087,11.21,false,0,0
"1",22,0,5,21,"Draggo","ZF","Coupled",false,0,12.827,2.332,1,12.827,2.332,false,0,0
"1",23,0,5,6,"Draggo","ZF","Coupled",false,0,12.732,5.104,1,12.732,5.104,false,0,0
"1",24,1,0,33,"Goto","RF","Coupled",true,2,97.627,84.301,3,19.633,6.307,false,0.2294301018585867,0.30444463001526306
"1",25,1,0,56,"Goto","RF","Coupled",false,0,12.511,2.409,1,12.511,2.409,false,0,0
"1",26,1,0,35,"Goto","RF","Coupled",false,0,12.309,2.547,1,12.309,2.547,false,0,0
"1",27,1,0,17,"Goto","RF","Coupled",false,0,23.055,7.308,1,23.055,7.308,false,0,0
"1",28,1,1,22,"Goto","RF","CF",true,2,60.787,45.479,2,29.89,14.582,false,0.5405023465760534,0.5194956962599219
"1",29,1,1,1,"Goto","RF","CF",false,0,17.004,3.77,1,17.004,3.77,false,0,0
"1",30,1,1,42,"Goto","RF","CF",false,0,13.4,2.809,1,13.4,2.809,false,0,0
"1",31,1,1,46,"Goto","RF","CF",false,0,15.298,2.511,1,15.298,2.511,false,0,0
"1",32,1,2,51,"Goto","RF","RF",true,0,14.403,2.493,1,14.403,2.493,false,0,0
"1",33,1,2,32,"Goto","RF","RF",false,0,24.921,10.459,1,24.921,10.459,false,0,0
