"name","pointEstimate","ci_max","ci_min","level","ci_corr_max","ci_corr_min"
"Dragalong_CF_RF-Animated_CF_RF","-0.384277777777778","-4.98993665409036","4.95210332145942","0.999242424242424","-8.25180370034865","9.83837493313537"
"Dragalong_CF_RF-Dragalong_Coupled_RF","0.749386363636364","-2.50325504870807","4.03854653349077","0.999242424242424","-5.25180775715106","6.19964158708794"
"Dragalong_CF_RF-Animated_Coupled_RF","1.77308333333333","-1.27166131249478","5.97569471055059","0.999242424242424","-3.09393425910693","10.6296060606061"
"Dragalong_CF_RF-Dragalong_FF_RF","-0.462136363636363","-3.76758802934782","3.50342549775142","0.999242424242424","-5.83837500416076","6.53816759341465"
"Dragalong_CF_RF-Animated_FF_RF","0.0361515151515156","-2.93428585195741","4.38783872281789","0.999242424242424","-4.6446568701771","9.34178787878788"
"Dragalong_CF_RF-Dragalong_CF_ZF","-1.67061111111111","-4.49981378282229","1.66477145263264","0.999242424242424","-6.63112534392457","4.47766393006032"
"Dragalong_CF_RF-Animated_CF_ZF","-1.45211363636364","-4.43389059435296","1.75516960314596","0.999242424242424","-6.71869706154862","5.08146978308327"
"Dragalong_CF_RF-Dragalong_Coupled_ZF","0.677626984126984","-2.06100949613934","4.17608721262531","0.999242424242424","-3.56295850562509","8.08671428571428"
"Dragalong_CF_RF-Animated_Coupled_ZF","1.93890909090909","-1.7024638346889","6.36088500514521","0.999242424242424","-4.05391140416625","10.1839848484848"
"Dragalong_CF_RF-Dragalong_FF_ZF","-0.530674999999999","-4.88788687503829","2.64906958135009","0.999242424242424","-9.68464166666667","4.83465283355977"
"Dragalong_CF_RF-Animated_FF_ZF","1.02566666666667","-2.82703061423383","5.91264339163139","0.999242424242424","-5.31331835675747","10.4759605761226"
"Animated_CF_RF-Dragalong_Coupled_RF","1.28946376811594","-5.5739613183965","5.54608746010585","0.999242424242424","-11.6719202898551","7.99119580979596"
"Animated_CF_RF-Animated_Coupled_RF","2.39217391304348","-0.0340953816804775","7.04167562378891","0.999242424242424","-1.21605336631421","10.3335362318841"
"Animated_CF_RF-Dragalong_FF_RF","-0.414384057971014","-4.51930782117367","3.83366396687332","0.999242424242424","-7.22983290707998","7.52575229459121"
"Animated_CF_RF-Animated_FF_RF","0.516782608695652","-3.50663374588362","4.76844901012437","0.999242424242424","-6.13269251652638","8.14759975765367"
"Animated_CF_RF-Dragalong_CF_ZF","-1.10741666666667","-4.67569882497128","2.48712891569973","0.999242424242424","-7.71841619502898","5.27997166405804"
"Animated_CF_RF-Animated_CF_ZF","-1.12197727272727","-4.74262807987367","3.72792860612343","0.999242424242424","-6.8773558885974","9.43150757575757"
"Animated_CF_RF-Dragalong_Coupled_ZF","0.946977272727273","-4.74705936920576","5.28936192726378","0.999242424242424","-8.46405303030303","8.07784033067629"
"Animated_CF_RF-Animated_Coupled_ZF","2.36729710144927","0.202074004803539","7.07740539056754","0.999242424242424","-0.812884163275112","9.47391304347826"
"Animated_CF_RF-Dragalong_FF_ZF","-0.417055555555555","-3.95916775410289","5.17326847275811","0.999242424242424","-6.16757733413857","10.2936428571429"
"Animated_CF_RF-Animated_FF_ZF","2.00911594202899","-1.91836722723481","6.78056547722649","0.999242424242424","-4.82680854223591","11.1659078931582"
"Dragalong_Coupled_RF-Animated_Coupled_RF","0.710055555555556","-2.57046239282881","7.31149218606723","0.999242424242424","-4.02171158498789","11.8513194444444"
"Dragalong_Coupled_RF-Dragalong_FF_RF","-1.4889375","-4.74943865326788","2.16701707036749","0.999242424242424","-7.06403035838043","4.85856237523436"
"Dragalong_Coupled_RF-Animated_FF_RF","-0.932861111111111","-4.76314049457714","5.76156874854603","0.999242424242424","-6.74671090905092","10.8059375"
"Dragalong_Coupled_RF-Dragalong_CF_ZF","-2.76623188405797","-5.80223371652076","1.73465315975427","0.999242424242424","-7.6026491969528","4.95171739130435"
"Dragalong_Coupled_RF-Animated_CF_ZF","-2.24947826086957","-5.81017193090201","3.44796699698619","0.999242424242424","-7.88223805709425","7.43860144927536"
"Dragalong_Coupled_RF-Dragalong_Coupled_ZF","-0.528615942028986","-3.32017481098309","2.28235703837587","0.999242424242424","-5.69933516068787","4.03673240171675"
"Dragalong_Coupled_RF-Animated_Coupled_ZF","0.905659722222221","-2.25910733721242","7.36576237969994","0.999242424242424","-3.73320248486487","12.1177916666667"
"Dragalong_Coupled_RF-Dragalong_FF_ZF","-2.12856818181818","-6.46668558571983","2.6376375638938","0.999242424242424","-9.55411870333083","6.93443113939888"
"Dragalong_Coupled_RF-Animated_FF_ZF","0.417083333333333","-2.9039400606794","6.8763663504421","0.999242424242424","-4.53599782902657","11.2420416666667"
"Animated_Coupled_RF-Dragalong_FF_RF","-2.19899305555556","-6.03172192242627","0.964850906505452","0.999242424242424","-9.64592433202042","2.85863273667154"
"Animated_Coupled_RF-Animated_FF_RF","-1.64291666666667","-5.04049186466252","1.09614394740781","0.999242424242424","-7.96402083333333","2.77238457581205"
"Animated_Coupled_RF-Dragalong_CF_ZF","-3.48794202898551","-6.55275031919853","-0.602492658311604","0.999242424242424","-8.89229487404541","1.4044106839915"
"Animated_Coupled_RF-Animated_CF_ZF","-3.11077536231884","-5.96312624258544","-0.831506014998811","0.999242424242424","-8.2973115942029","0.47147601520308"
"Animated_Coupled_RF-Dragalong_Coupled_ZF","-1.63580434782609","-6.65715116946139","1.01628239818545","0.999242424242424","-11.7143333333333","2.20519490606227"
"Animated_Coupled_RF-Animated_Coupled_ZF","0.195604166666666","-1.60154739973452","2.59560945940336","0.999242424242424","-2.73160501434077","4.69490972222222"
"Animated_Coupled_RF-Dragalong_FF_ZF","-2.81159848484848","-5.89239163788091","0.126526255909529","0.999242424242424","-8.34654178926848","2.0475917852185"
"Animated_Coupled_RF-Animated_FF_ZF","-0.292972222222223","-3.76171571331974","2.60444171932034","0.999242424242424","-6.35395410861721","4.42147195432737"
"Dragalong_FF_RF-Animated_FF_RF","0.556076388888889","-3.64497367475368","4.49149737355662","0.999242424242424","-7.01063466760944","7.48085316197135"
"Dragalong_FF_RF-Dragalong_CF_ZF","-1.0536884057971","-3.33440600968972","1.9107138790866","0.999242424242424","-4.79042419612624","4.73104347826087"
"Dragalong_FF_RF-Animated_CF_ZF","-0.968891304347827","-4.41325156795533","2.56036826112952","0.999242424242424","-7.1817789686232","4.81255858838014"
"Dragalong_FF_RF-Dragalong_Coupled_ZF","0.663557971014492","-2.50654671575569","4.15812814147888","0.999242424242424","-4.77878117595557","6.93698387594247"
"Dragalong_FF_RF-Animated_Coupled_ZF","2.39459722222222","-0.288224045941354","6.60901630394373","0.999242424242424","-1.85112160274196","10.4740138888889"
"Dragalong_FF_RF-Dragalong_FF_ZF","-1.12399242424242","-4.80475268564899","2.42607531065944","0.999242424242424","-8.47655770638957","5.650844676599"
"Dragalong_FF_RF-Animated_FF_ZF","1.90602083333333","-2.64545435075187","6.67101995513459","0.999242424242424","-5.59756202341738","10.2908373957439"
"Animated_FF_RF-Dragalong_CF_ZF","-1.6885","-4.76128516270962","2.29122185176477","0.999242424242424","-6.60656102754286","5.56845652173913"
"Animated_FF_RF-Animated_CF_ZF","-1.42351449275362","-4.16168380942103","0.996422672749053","0.999242424242424","-6.28320293324352","2.6415753581909"
