"name","pointEstimate","ci_max","ci_min","level","ci_corr_max","ci_corr_min","w"
"CF_RF-Coupled_RF","3.15760416666667","0.353672907662298","9.8909423421229","0.995833333333333","-0.414319412097091","13.4925277777778","*"
"CF_RF-FF_RF","3.35538194444444","0.204910366139004","8.69304470426563","0.995833333333333","-0.90314130773018","12.0114440479747"," "
"CF_RF-CF_ZF","0.394590277777778","-2.30028088554549","7.40317735648264","0.995833333333333","-3.06808643499777","11.0110416666667","*"
"CF_RF-Coupled_ZF","4.22211111111111","1.85511112251616","8.55294859521296","0.995833333333333","1.13138265997137","12.2407789647768"," "
"CF_RF-FF_ZF","3.77357638888889","0.691547037329212","9.11714750279005","0.995833333333333","-0.338314052286854","12.7833935487823"," "
"Coupled_RF-FF_RF","0.197777777777778","-1.81929612608117","2.46071591412384","0.995833333333333","-2.68650392490201","3.87864699366314"," "
"Coupled_RF-CF_ZF","-2.76301388888889","-5.36052422096899","-0.597437414054112","0.995833333333333","-6.91708504391374","0.271319919180056"," "
"Coupled_RF-Coupled_ZF","1.06450694444444","-0.979225984302977","2.81054200732364","0.995833333333333","-1.9538441472031","3.48871772972537"," "
"Coupled_RF-FF_ZF","0.615972222222222","-1.8994005388359","3.81941680782674","0.995833333333333","-2.76563398237587","5.58240552853961"," "
"FF_RF-CF_ZF","-2.96079166666667","-6.10717456079817","-0.346067775019164","0.995833333333333","-7.79719985260839","0.70643382690673"," "
"FF_RF-Coupled_ZF","0.866729166666667","-1.33910566836417","2.75339363330945","0.995833333333333","-2.48499541456233","3.55350365477559"," "
"FF_RF-FF_ZF","0.418194444444445","-1.3639805820091","2.39421257838341","0.995833333333333","-2.08341760953835","3.39354282561908"," "
"CF_ZF-Coupled_ZF","3.82752083333333","1.2554520551871","5.99474621598538","0.995833333333333","0.0347462995148977","6.86198035479412"," "
"CF_ZF-FF_ZF","3.37898611111111","0.907749843605187","6.56370508684853","0.995833333333333","-0.1460625291591","8.38886129077179"," "
"Coupled_ZF-FF_ZF","-0.448534722222222","-2.21947734485769","2.07710644744444","0.995833333333333","-2.90005496518317","3.60357332255892"," "
