"name","pointEstimate","ci_max","ci_min","level","ci_corr_max","ci_corr_min"
"CF_RF-Coupled_RF","0.111111111111111","-0.215277777777778","0.4375","0.995833333333333","-0.388888888888889","0.583357224383739"
"CF_RF-FF_RF","0.215277777777778","-0.0486111111111111","0.5","0.995833333333333","-0.152777777777778","0.649764308178397"
"CF_RF-CF_ZF","0.0486111111111111","-0.346187725939381","0.347222222222222","0.995833333333333","-0.539579332843089","0.472222222222222"
"CF_RF-Coupled_ZF","0.361111111111111","0.166666666666667","0.590277777777778","0.995833333333333","0.0902777777777778","0.729166666666667"
"CF_RF-FF_ZF","0.159722222222222","-0.111111111111111","0.430555555555556","0.995833333333333","-0.229166666666667","0.548611111111111"
"Coupled_RF-FF_RF","0.104166666666667","-0.145833333333333","0.354166666666667","0.995833333333333","-0.263888888888889","0.451388888888889"
"Coupled_RF-CF_ZF","-0.0625","-0.416666666666667","0.222222222222222","0.995833333333333","-0.619516817333417","0.344326320704123"
"Coupled_RF-Coupled_ZF","0.25","-0.0277777777777778","0.729166666666667","0.995833333333333","-0.131944444444444","1.00267475804095"
"Coupled_RF-FF_ZF","0.0486111111111111","-0.270833333333333","0.305555555555556","0.995833333333333","-0.430555890796059","0.416666666666667"
"FF_RF-CF_ZF","-0.166666666666667","-0.520833333333333","0.118055555555556","0.995833333333333","-0.694972414643123","0.248526979116244"
"FF_RF-Coupled_ZF","0.145833333333333","-0.0625","0.4375","0.995833333333333","-0.138888888888889","0.621429700154849"
"FF_RF-FF_ZF","-0.0555555555555556","-0.263888888888889","0.156648716368137","0.995833333333333","-0.347222222222222","0.256944444444444"
"CF_ZF-Coupled_ZF","0.3125","0.0277777777777778","0.868055555555556","0.995833333333333","-0.0694444444444444","1.23611111111111"
"CF_ZF-FF_ZF","0.111111111111111","-0.159722222222222","0.395833333333333","0.995833333333333","-0.279952591943079","0.526404229311674"
"Coupled_ZF-FF_ZF","-0.201388888888889","-0.583333333333333","-0.0277777777777778","0.995833333333333","-0.805555555555556","0.0347222222222222"
